nSimulations;Vega_MC;Vega_BS;Relative_Error
713000;0.0380835;37.524;0.998985
714000;-0.671481;37.524;1.01789
715000;-0.0151713;37.524;1.0004
716000;-0.0498399;37.524;1.00133
717000;-0.0216207;37.524;1.00058
718000;0.0112635;37.524;0.9997
719000;0.519301;37.524;0.986161
720000;-0.146246;37.524;1.0039
721000;-0.0463595;37.524;1.00124
722000;-0.385203;37.524;1.01027
723000;0.0263765;37.524;0.999297
724000;0.484417;37.524;0.98709
725000;-0.204051;37.524;1.00544
726000;-0.0731479;37.524;1.00195
727000;-0.336993;37.524;1.00898
728000;-0.0949953;37.524;1.00253
729000;0.0419661;37.524;0.998882
730000;-0.0343215;37.524;1.00091
731000;-9.88597;37.524;1.26346
732000;-0.181869;37.524;1.00485
733000;0.0222425;37.524;0.999407
734000;-0.0294607;37.524;1.00079
735000;-1.65478;37.524;1.0441
736000;-0.00425875;37.524;1.00011
737000;0.00946322;37.524;0.999748
738000;-16.0795;37.524;1.42851
739000;-0.00770939;37.524;1.00021
740000;0.00558502;37.524;0.999851
741000;-0.473774;37.524;1.01263
742000;-0.0321288;37.524;1.00086
743000;-0.011256;37.524;1.0003
744000;-0.165517;37.524;1.00441
745000;-0.0169599;37.524;1.00045
746000;-0.0250471;37.524;1.00067
747000;-0.0557214;37.524;1.00148
748000;0.00272838;37.524;0.999927
749000;-0.934285;37.524;1.0249
750000;-0.030129;37.524;1.0008
751000;-0.0124424;37.524;1.00033
752000;-0.00188032;37.524;1.00005
753000;-0.0727987;37.524;1.00194
754000;0.0181844;37.524;0.999515
